timestamp,scheduler_name,latency,jitter,schedule_adherence
1743640674.8655307,HeuristicGCLScheduler,0.078ms,0.072ms,4989507584
1743640704.9176314,HeuristicGCLScheduler,0.024ms,0.003ms,4991575296
1743640734.9777966,HeuristicGCLScheduler,0.031ms,0.010ms,4990954496
1743640765.0351963,HeuristicGCLScheduler,0.024ms,0.005ms,4991917824
1743640795.0811589,HeuristicGCLScheduler,0.023ms,0.007ms,4992569856
1743640825.1298423,HeuristicGCLScheduler,0.020ms,0.005ms,4991804160
1743640855.1767302,HeuristicGCLScheduler,0.024ms,0.006ms,4991596288
1743640885.2226324,HeuristicGCLScheduler,0.025ms,0.005ms,4991224064
1743640915.276372,HeuristicGCLScheduler,0.029ms,0.009ms,4990776576
1743640945.3243423,HeuristicGCLScheduler,0.022ms,0.007ms,4990613760
1743640975.371231,HeuristicGCLScheduler,0.022ms,0.004ms,4992103168
1743641005.4247265,HeuristicGCLScheduler,0.030ms,0.003ms,4991011584
1743641035.4740453,HeuristicGCLScheduler,0.027ms,0.007ms,4991501312
1743641065.5210538,HeuristicGCLScheduler,0.028ms,0.015ms,4991747328
1743642149.3753555,HeuristicGCLScheduler,0.117ms,0.074ms,4277549568
1743642179.4265099,HeuristicGCLScheduler,0.040ms,0.019ms,4990542848
1743642209.471503,HeuristicGCLScheduler,0.038ms,0.007ms,4992200448
1743642239.5212471,HeuristicGCLScheduler,0.041ms,0.019ms,4992180736
1743642269.5738912,HeuristicGCLScheduler,0.047ms,0.011ms,4991157760
1743642299.63037,HeuristicGCLScheduler,0.050ms,0.005ms,4989583360
1743642329.687938,HeuristicGCLScheduler,0.068ms,0.040ms,4990202112
1743642359.7702966,HeuristicGCLScheduler,0.107ms,0.057ms,4985244928
1743642389.8379223,HeuristicGCLScheduler,0.072ms,0.012ms,4988673792
1743642419.909683,HeuristicGCLScheduler,0.097ms,0.058ms,4980518400
1743642449.977448,HeuristicGCLScheduler,0.071ms,0.040ms,4988044288
1743642480.0289173,HeuristicGCLScheduler,0.031ms,0.010ms,4990315008
1743642510.0817778,HeuristicGCLScheduler,0.076ms,0.058ms,4988668672
1743642540.1426234,HeuristicGCLScheduler,0.101ms,0.046ms,4987227904
1743642570.1927922,HeuristicGCLScheduler,0.064ms,0.016ms,4990738432
1743642600.2445002,HeuristicGCLScheduler,0.041ms,0.019ms,4990995456
1743642630.3041556,HeuristicGCLScheduler,0.080ms,0.042ms,4987593984
1743642660.3579726,HeuristicGCLScheduler,0.061ms,0.029ms,4989713152
1743670439.2751472,HeuristicGCLScheduler,0.100ms,0.052ms,14146915072
1743670469.3289785,HeuristicGCLScheduler,0.033ms,0.019ms,4991496192
1743670498.748018,HeuristicGCLScheduler,0.039ms,0.012ms,4992243968
1743670528.8059828,HeuristicGCLScheduler,0.082ms,0.054ms,4991071232
1743670558.8518667,HeuristicGCLScheduler,0.033ms,0.015ms,4992685312
1743670588.895946,HeuristicGCLScheduler,0.026ms,0.011ms,4991989504
1743670618.955971,HeuristicGCLScheduler,0.045ms,0.031ms,4988529408
1743670649.0001137,HeuristicGCLScheduler,0.047ms,0.019ms,4991391488
1743670679.046402,HeuristicGCLScheduler,0.029ms,0.011ms,4991243008
1743670709.093533,HeuristicGCLScheduler,0.024ms,0.008ms,4991803904
1743670739.1382248,HeuristicGCLScheduler,0.031ms,0.013ms,4991876864
1743670769.1923275,HeuristicGCLScheduler,0.045ms,0.031ms,4986545152
1743670799.236588,HeuristicGCLScheduler,0.038ms,0.015ms,4992135168
1743670829.2843568,HeuristicGCLScheduler,0.053ms,0.039ms,4991321856
1743670859.3306556,HeuristicGCLScheduler,0.028ms,0.024ms,4992294400
1743670889.3788512,HeuristicGCLScheduler,0.038ms,0.029ms,4991416320
1743670919.4297557,HeuristicGCLScheduler,0.053ms,0.033ms,4989456896
1743670949.4742377,HeuristicGCLScheduler,0.028ms,0.013ms,4992022528
1743670979.523359,HeuristicGCLScheduler,0.026ms,0.004ms,4992252672
1743671009.5735188,HeuristicGCLScheduler,0.031ms,0.016ms,4991233024
1743671039.6188653,HeuristicGCLScheduler,0.034ms,0.016ms,4992034560
1743671069.6759841,HeuristicGCLScheduler,0.033ms,0.009ms,4982322944
1743671099.7268512,HeuristicGCLScheduler,0.031ms,0.013ms,4990882560
1743671129.7753315,HeuristicGCLScheduler,0.034ms,0.021ms,4991255552
1743671159.8266363,HeuristicGCLScheduler,0.049ms,0.009ms,4991085056
1743671189.8735693,HeuristicGCLScheduler,0.030ms,0.015ms,4991789056
1743671219.9299636,HeuristicGCLScheduler,0.041ms,0.017ms,4990588416
1743671249.9794776,HeuristicGCLScheduler,0.023ms,0.005ms,4990875392
1743671280.024723,HeuristicGCLScheduler,0.020ms,0.005ms,4992426496
1743671310.07054,HeuristicGCLScheduler,0.021ms,0.005ms,4991946240
1743671340.1195285,HeuristicGCLScheduler,0.037ms,0.031ms,4990931200
1743671370.1700714,HeuristicGCLScheduler,0.031ms,0.005ms,4990966016
1743671400.220401,HeuristicGCLScheduler,0.061ms,0.041ms,4990018048
1743671430.265898,HeuristicGCLScheduler,0.032ms,0.008ms,4992027392
1743671460.3123283,HeuristicGCLScheduler,0.021ms,0.006ms,4992507392
1743671490.3713048,HeuristicGCLScheduler,0.039ms,0.012ms,4982977024
1743671520.4207227,HeuristicGCLScheduler,0.052ms,0.036ms,4991695616
1743671550.475878,HeuristicGCLScheduler,0.021ms,0.006ms,4991853568
1743671580.5324667,HeuristicGCLScheduler,0.038ms,0.017ms,4991205632
1743671610.5766914,HeuristicGCLScheduler,0.021ms,0.004ms,4991822080
1743671640.6224756,HeuristicGCLScheduler,0.021ms,0.005ms,4992014592
1743671670.6864567,HeuristicGCLScheduler,0.060ms,0.036ms,4982312960
1743671700.7305133,HeuristicGCLScheduler,0.026ms,0.018ms,4992190720
1743671730.7780542,HeuristicGCLScheduler,0.020ms,0.005ms,4992146176
1743671760.838908,HeuristicGCLScheduler,0.053ms,0.042ms,4989258496
1743671790.90334,HeuristicGCLScheduler,0.031ms,0.008ms,4990950912
1743671820.9516294,HeuristicGCLScheduler,0.024ms,0.005ms,4991918592
1743671851.0035927,HeuristicGCLScheduler,0.030ms,0.007ms,4988860672
1743671881.0516512,HeuristicGCLScheduler,0.037ms,0.010ms,4991990784
1743671911.0986328,HeuristicGCLScheduler,0.024ms,0.005ms,4992252160
1743671941.1426008,HeuristicGCLScheduler,0.021ms,0.005ms,4992634112
1743671971.1875584,HeuristicGCLScheduler,0.034ms,0.021ms,4991839488
1743672001.2378294,HeuristicGCLScheduler,0.027ms,0.008ms,4990973952
1743672031.288513,HeuristicGCLScheduler,0.045ms,0.022ms,4988573696
1743672061.33384,HeuristicGCLScheduler,0.024ms,0.005ms,4991820800
1743672091.392278,HeuristicGCLScheduler,0.036ms,0.005ms,4989417984
1744378160.5698307,HeuristicGCLScheduler,0.039ms,0.011ms,4983022592
1744378190.6221259,HeuristicGCLScheduler,0.033ms,0.008ms,4990321664
1744378220.6810758,HeuristicGCLScheduler,0.046ms,0.042ms,4989177088
